CUSTOMER_NUMBER,BENFORD_DEV,ACTIVITY_SEQ_RARITY,TRANS_AMOUNT_Z_SCORE,BALANCE_COVERAGE_RATIO,SPIKE_1H_VS_24H,SPIKE_24H_VS_7D,SPIKE_7D_VS_30D,TRANS_AMOUNT_VS_30D_AVG_RATIO
24066,-0.5197136,-0.1416211,8.746274,1.7408341,0.49956813,-0.0932597,-0.22003275,3.454409
24794,-0.5472208,-0.13583529,7.247745,2.268519,0.07651082,-0.081455685,0.36335176,4.163785
25366,-0.20296165,-0.17415436,3.6689022,0.57521147,-0.48783246,-0.10681886,-0.011164932,5.798895
25366,-0.22912191,-0.1724005,8.185741,1.0690553,-0.223095,-0.10877111,-0.21108411,3.429163
25366,-0.15666687,-0.17369363,6.8868423,1.0115976,0.060690776,-0.10578692,0.4105836,4.49601
25573,-0.71507215,-0.12836719,2.996129,0.2804106,-0.46467325,-0.11682494,0.0070222924,6.348097
25952,-0.6391154,-0.12857501,7.166453,2.1426685,-0.21488072,-0.08702788,0.13850114,4.29779
26269,0.68933433,-0.18500341,7.1933947,2.7099307,0.1800651,-0.07306078,0.4422555,3.877855
26683,-0.7620012,-0.13361111,3.7679603,0.22443685,-0.2729806,-0.10826856,0.23739317,5.715041
26733,-0.6951635,-0.13240004,6.8003683,0.32459158,0.011863215,-0.10826856,0.24179582,4.2491035
26746,-0.62741077,-0.13372086,2.751795,1.1848178,-0.47100568,-0.059513524,0.119001836,6.351057
26746,-0.51982766,-0.13676637,9.078706,2.9854474,-0.0126538295,-0.08443987,-0.22003275,3.6562653
26746,-0.55956316,-0.13664863,7.247745,2.2694705,0.07460789,-0.081455685,0.29964796,4.139597
26868,0.7395479,-0.17327693,7.186513,1.008663,0.050019633,-0.09049084,0.41599512,4.5493064
26868,0.6730378,-0.18382016,1.6353897,0.65620065,0.8161261,-0.057007648,0.42212653,2.8658075
26868,0.61102676,-0.18534581,2.953101,0.5188595,0.15168038,-0.059991837,-0.2727421,6.469468
26868,0.71289504,-0.17134543,7.0065575,0.8821897,-0.35066453,-0.09347504,-0.22782092,4.4493446
26979,0.4210541,-0.16955878,6.999992,-0.20221542,-0.24335782,-0.1026109,0.30896366,4.425454
27056,-0.63562906,-0.13724203,6.9613934,0.6552932,0.52898026,-0.10826856,0.37604633,4.3066063
27273,0.5496392,-0.14250427,6.8523197,-1.3283864,-0.32547796,-0.09915771,-0.16932845,4.3387156
27381,-0.5369525,-0.14069003,4.279547,2.1049817,0.23097782,-0.081455685,0.3310681,5.5538316
27381,-0.51637435,-0.14069003,4.3891263,2.028068,0.68267035,-0.081455685,0.3535604,5.6100974
27381,-0.5808402,-0.0605637,3.0024428,2.8925893,1.3773569,-0.081455685,0.33692938,2.6027625
27381,-0.5857362,-0.06077597,3.1077814,2.8101919,1.6560593,-0.063614294,0.29057503,1.5528482
27381,-0.48486692,-0.06149477,2.8653615,2.8896582,0.77339035,-0.08443987,-0.17666131,2.5786114
27668,-0.6760958,-0.13947894,6.8856726,0.32641724,0.2856187,-0.11125275,0.08407923,4.1659617
27668,-0.7530381,-0.1273783,6.6505437,-0.36744767,-0.44466153,-0.11125275,-0.15794322,4.0766683
27674,-0.51693517,-0.1369627,1.8102584,3.4917579,-0.017559223,0.3370396,-0.025264528,2.7968163
27674,-0.49207443,-0.13753974,4.1151495,2.6108584,0.22454916,0.3722175,0.004529164,5.258171
27674,-0.48607296,-0.05267645,2.255799,3.5508425,0.020345038,0.12114954,-0.16108263,2.058358
27775,0.26247832,-0.17063312,6.926774,0.93619055,-0.47127664,-0.10012926,0.20270436,4.4765315
27790,-0.8004712,-0.12726055,7.9533987,-0.38720232,-0.52962077,-0.11125275,-0.061519884,2.9698904
27790,-0.70714676,-0.13002211,6.704907,-0.20767501,0.045796786,-0.11125275,-0.23067485,4.1090055
27893,-0.6721076,-0.13590644,6.6704025,0.40168756,-0.45582333,-0.11125275,-0.06598863,4.183856
28208,0.76012146,-0.05362715,4.3378215,2.9762247,-0.38785338,-0.057075325,0.17325954,2.1644158
28228,-0.48602647,0.103043534,3.4099615,2.4889383,-0.39985162,0.12114954,-0.10371441,2.0589395
28621,-0.8091678,-0.12650943,2.723826,-0.7595789,-0.24527173,-0.05718242,0.22068813,6.150276
28625,-0.641026,-0.1705792,6.787148,0.34955227,-0.5034486,0.22748643,-0.023237325,4.244846
28625,-0.66112995,-0.16608748,3.8307085,-0.23801507,0.045796786,-0.11125275,-0.20958428,5.441539
28641,4.013427,-0.14580578,8.435503,-0.95263064,-0.021747904,-0.09666679,-0.06612897,3.0385027
29306,0.14265272,0.0050483802,2.8331664,-0.1237235,0.055793352,-0.060416766,0.016631238,6.3614244
29306,0.10688906,0.0043360665,2.8533576,-0.16654947,0.014566571,-0.060416766,-0.26130855,6.285998
29306,0.16288729,0.029261142,6.916325,0.51058376,-0.040772736,-0.10559509,-0.29513356,4.327001
29602,2.8031807,0.60583425,8.111094,-0.14982101,-0.5704063,-0.10864761,0.3097731,3.82693
29602,2.7940452,0.72644293,1.12358,-0.6352725,0.032878667,-0.22971798,-0.022815729,3.3017716
29689,0.38956007,-0.14250427,8.190661,-1.578348,-0.3927038,-0.09915771,-0.16932845,3.0159767
29782,0.5364902,-0.15337874,6.98781,-1.0716516,-0.20181839,-0.095982015,0.23666552,4.3556895
29790,0.30780005,-0.06833246,1.9847763,4.4540043,0.39769465,-0.03246426,-0.18831319,0.0029763803
29987,-0.7769706,-0.10223282,3.875649,-1.3509635,0.056695305,-0.10456842,0.223389,5.51859
30020,-0.53560376,-0.14451924,3.8993428,2.724329,0.09024866,-0.081455685,0.17886232,5.255791
30020,-0.51979274,-0.061866846,2.1323173,3.6060164,-0.4222829,-0.08443987,-0.103174575,2.1298776
30071,-0.83727527,-0.12339134,8.0880375,-0.9069907,-0.5696074,0.18676469,0.23460479,3.0275636
30078,-0.6242062,-0.13400482,7.000112,1.3972504,-0.48694938,-0.09027551,0.15383594,4.2610965
30345,-0.50173646,-0.05781845,4.1068764,3.0055392,-0.437196,-0.07040666,-0.042630322,2.0047622
30345,-0.52693844,-0.17144042,3.8013053,2.9470541,-0.41876984,-0.083396375,0.029548652,3.0085156
30569,-0.58006287,-0.064756535,2.286194,2.4284008,0.42304003,0.17173128,0.24596465,2.2271824
30606,-0.72209346,-0.1295818,3.8689454,-0.2938128,-0.0031442568,-0.11125275,0.018009627,5.4625883
30606,-0.7345475,-0.13099265,6.6606927,-0.09563751,0.17292848,-0.10826856,0.377461,4.3101397
30606,-0.6890383,-0.13773607,3.2900655,-0.35622624,0.249372,-0.11125275,-0.20828341,6.028236
30720,-0.5773017,-0.13590644,7.0763907,2.204362,-0.39473853,-0.08443987,-0.0101837125,4.260416
30720,-0.65171784,-0.14273782,2.553087,0.40810934,-0.42815435,-0.06405826,-0.13696197,6.2843366
30783,0.5206372,-0.05315571,5.965737,4.6680427,-0.3468567,-0.05795664,0.26410878,-1.7852734
31103,-0.6992148,-0.13442445,6.768142,0.31315786,-0.20615987,-0.11125275,-0.071108334,4.1704664
31317,-0.6161447,-0.13590644,7.0010624,1.4073416,-0.46007788,-0.0932597,0.06825266,4.251883
31317,-0.59802544,-0.138668,8.232192,1.1019663,-0.009335748,-0.10186993,-0.22666603,3.26786
31554,-0.77678967,-0.1295818,6.6981344,-0.23468515,-0.22155495,-0.11125275,0.0060187923,4.204217
31561,-0.37896094,-0.1662072,3.8007143,0.3032898,0.086611345,-0.10826856,0.30019912,5.7432594
31599,-0.76716083,-0.04210948,8.089505,-1.5871623,-0.09725583,-0.10755261,-0.14233543,2.1552157
32416,1.522821,-0.17266211,7.131965,0.25811642,-0.36702156,-0.10285785,-0.22409508,4.5357943
32545,-0.64892596,-0.048029076,2.4359858,3.0566418,-0.48661047,-0.08702788,0.11484657,2.3569102
32571,-0.5584512,-0.13442445,3.860064,2.8707993,-0.061745018,-0.08443987,0.028240051,2.9963703
32738,0.5771916,-0.17398925,7.022095,0.67269474,-0.024019238,-0.10037621,-0.29513356,4.274311
33123,0.76704,-0.16955878,4.037705,-0.012245089,-0.19615763,-0.09987366,0.22395697,5.8611245
33123,0.77148926,-0.17105275,7.0789413,0.472536,-0.20066108,-0.09987366,0.28785717,4.4875565
33401,-0.75785595,-0.11961812,8.068008,-0.8489059,-0.031401567,-0.10437692,0.33345288,3.0505564
33658,-0.09995265,-0.060394473,3.893045,1.5050132,0.7176299,-0.06976066,-0.19390377,1.2170571
33781,-0.5296795,0.14872529,2.02029,3.7120516,0.11851749,-0.03230477,0.21091822,1.1121268
33968,-0.55102646,-0.04935587,6.1311026,4.1661334,-0.017885722,-0.063614294,0.19004375,-1.2390249
34002,-0.83310586,-0.12001184,6.616722,-0.81798893,-0.48938042,-0.10736111,0.06257885,4.1706705
34094,0.8097706,-0.17276886,3.1720414,0.5950245,-0.080998614,-0.09739202,0.2890255,2.6242778
34094,0.587366,-0.17570534,7.266459,1.2578253,-0.03865535,-0.0848648,-0.28850028,4.30351
34270,-0.8533242,-0.12644722,8.05205,-0.43511683,-0.5782957,-0.10826856,0.25272447,3.0027826
